Contador    P0    P1
0	-2.22   -2.22
950	17.45	-0.16
951	17.45	-0.17
952	17.45	-0.17
953	17.46	-0.17
954	17.46	-0.17
955	17.46	-0.17
956	17.31	-0.17
957	17.31	-0.16
958	17.31	-0.16
959	17.18	-0.16
960	17.18	-0.17
961	17.18	-0.17
962	17.34	-0.17
963	17.34	-0.17
964	17.34	-0.17
965	17.45	-0.17
966	17.45	-0.17
967	17.45	-0.17
968	17.36	-0.17
969	17.36	-0.17
970	17.36	-0.17
971	17.33	-0.17
972	17.33	-0.17
973	17.33	-0.17
974	17.51	-0.17
975	17.51	-0.17
976	17.51	-0.17
977	17.38	-0.17
978	17.38	-0.17
979	17.38	-0.17
980	17.31	-0.17
981	17.31	-0.17
982	17.31	-0.17
983	17.26	-0.17
984	17.26	-0.17
985	17.26	-0.17
986	17.19	-0.17
987	17.19	-0.17
988	17.19	-0.17
989	17.32	-0.17
990	17.32	-0.17
991	17.32	-0.17
992	17.32	-0.17
993	17.32	-0.17
994	17.32	-0.17
995	17.24	-0.17
996	17.24	-0.17
997	17.24	-0.17
998	17.24	-0.17
999	17.24	-0.17
1000	17.24	-0.17
1001	17.35	-0.17
1002	17.35	-0.17
1003	17.35	-0.17
1004	17.36	-0.17
1005	17.36	-0.17
1006	17.36	-0.17
1007	17.43	-0.17
1008	17.43	-0.16
1009	17.43	-0.16
1010	17.38	-0.16
1011	17.38	-0.16
1012	17.38	-0.16
1013	17.39	-0.16
1014	17.39	-0.17
1015	17.39	-0.17
1016	17.27	-0.17
1017	17.27	-0.16
1018	17.27	-0.16
1019	17.43	-0.16
1020	17.43	-0.17
1021	17.43	-0.17
1022	17.38	-0.17
1023	17.38	-0.16
1024	17.38	-0.16
1025	17.27	-0.16
1026	17.27	-0.17
1027	17.27	-0.17
1028	17.37	-0.17
1029	17.37	-0.17
1030	17.37	-0.17
1031	17.42	-0.17
1032	17.42	-0.17
1033	17.42	-0.17
1034	17.45	-0.17
1035	17.45	-0.17
1036	17.45	-0.17
1037	17.52	-0.17
1038	17.52	-0.17
1039	17.52	-0.17
1040	17.35	-0.17
1041	17.35	-0.16
1042	17.35	-0.16
1043	17.43	-0.16
1044	17.43	-0.16
1045	17.43	-0.16
1046	17.54	-0.16
1047	17.54	-0.17
1048	17.54	-0.17
1049	17.55	-0.17
1050	17.55	-0.17
1051	17.55	-0.17
1052	17.46	-0.17
1053	17.46	-0.16
1054	17.46	-0.16
1055	17.44	-0.16
1056	17.44	-0.17
1057	17.44	-0.17
1058	17.52	-0.17
1059	17.52	-0.17
1060	17.52	-0.17
1061	17.57	-0.17
1062	17.57	-0.17
1063	17.57	-0.17
1064	17.54	-0.17
1065	17.54	-0.17
1066	17.54	-0.17
1067	17.45	-0.17
1068	17.45	-0.16
1069	17.45	-0.16
1070	17.37	-0.16
1071	17.37	-0.17
1072	17.37	-0.17
1073	17.58	-0.17
1074	17.58	-0.17
1075	17.58	-0.17
1076	17.59	-0.17
1077	17.59	-0.17
1078	17.59	-0.17
1079	17.54	-0.17
1080	17.54	-0.17
1081	17.54	-0.17
1082	17.54	-0.17
1083	17.54	-0.17
1084	17.54	-0.17
1085	17.43	-0.17
1086	17.43	-0.17
1087	17.43	-0.17
1088	17.45	-0.17
1089	17.45	-0.17
1090	17.45	-0.17
1091	17.38	-0.17
1092	17.38	-0.17
1093	17.38	-0.17
1094	17.42	-0.17
1095	17.42	-0.17
1096	17.42	-0.17
1097	17.23	-0.17
1098	17.23	-0.17
1099	17.23	-0.17
1100	17.21	-0.17
1101	17.21	-0.17
1102	17.21	-0.17
1103	17.24	-0.17
1104	17.24	-0.17
1105	17.24	-0.17
1106	17.25	-0.17
1107	17.25	-0.17
1108	17.25	-0.17
1109	17.31	-0.17
1110	17.31	-0.17
1111	17.31	-0.17
1112	17.43	-0.17
1113	17.43	-0.17
1114	17.43	-0.17
1115	17.34	-0.17
1116	17.34	-0.17
1117	17.34	-0.17
1118	17.47	-0.17
1119	17.47	-0.17
1120	17.47	-0.17
1121	17.52	-0.17
1122	17.52	-0.17
1123	17.52	-0.17
1124	17.51	-0.17
1125	17.51	-0.17
1126	17.51	-0.17
1127	17.37	-0.17
1128	17.37	-0.17
1129	17.37	-0.17
1130	17.41	-0.17
1131	17.41	-0.17
1132	17.41	-0.17
1133	17.50	-0.17
1134	17.50	-0.17
1135	17.50	-0.17
1136	17.48	-0.17
1137	17.48	-0.17
1138	17.48	-0.17
1139	17.52	-0.17
1140	17.52	-0.16
1141	17.52	-0.16
1142	17.33	-0.16
1143	17.33	-0.17
1144	17.33	-0.17
1145	17.21	-0.17
1146	17.21	-0.17
1147	17.21	-0.17
1148	17.54	-0.17
1149	17.54	-0.17
1150	17.54	-0.17
1151	17.53	-0.17
1152	17.53	-0.17
1153	17.53	-0.17
1154	17.44	-0.17
1155	17.44	-0.17
1156	17.44	-0.17
1157	17.45	-0.17
1158	17.45	-0.17
1159	17.45	-0.17
1160	17.41	-0.17
1161	17.41	-0.17
1162	17.41	-0.17
1163	17.37	-0.17
1164	17.37	-0.17
1165	17.37	-0.17
1166	17.40	-0.17
1167	17.40	-0.17
1168	17.40	-0.17
1169	17.37	-0.17
1170	17.37	-0.17
1171	17.37	-0.17
1172	17.36	-0.17
1173	17.36	-0.17
1174	17.36	-0.17
1175	17.42	-0.17
1176	17.42	-0.17
1177	17.42	-0.17
1178	17.48	-0.17
1179	17.48	-0.17
1180	17.48	-0.17
1181	17.44	-0.17
1182	17.44	-0.17
1183	17.44	-0.17
1184	17.43	-0.17
1185	17.43	-0.17
1186	17.43	-0.17
1187	17.49	-0.17
1188	17.49	-0.17
1189	17.49	-0.17
1190	17.43	-0.17
1191	17.43	-0.17
1192	17.43	-0.17
1193	17.51	-0.17
