Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
43.614	21.60	31.23	0.04	7.67
43.704	24.03	33.66	0.00	7.63
43.794	24.68	34.30	-0.07	7.55
43.884	23.89	33.52	0.09	7.72
43.974	22.96	32.59	-0.06	7.57
44.063	20.59	30.22	0.03	7.66
44.153	18.43	28.06	0.01	7.64
44.243	15.73	25.36	-0.08	7.55
44.333	15.25	24.88	0.09	7.71
44.428	22.40	32.03	-0.04	7.59
44.523	29.46	39.09	-0.06	7.57
44.613	32.47	42.10	0.03	7.66
44.703	29.07	38.70	0.02	7.64
44.793	23.13	32.75	-0.08	7.55
44.883	22.28	31.91	0.08	7.71
44.973	24.47	34.10	-0.06	7.57
45.063	24.56	34.19	0.03	7.66
45.153	23.89	33.52	0.03	7.66
45.243	22.39	32.02	-0.08	7.55
45.333	20.11	29.74	0.08	7.71
45.423	17.86	27.49	-0.05	7.57
45.513	15.07	24.70	0.03	7.66
45.609	17.51	27.14	-0.08	7.55
45.703	25.15	34.78	0.04	7.67
45.793	30.70	40.33	-0.08	7.55
45.883	32.22	41.85	0.08	7.71
45.972	26.84	36.47	-0.05	7.58
46.062	21.89	31.52	0.03	7.66
46.152	23.07	32.70	0.04	7.67
46.242	24.69	34.32	-0.08	7.54
46.332	24.27	33.90	0.08	7.71
46.422	23.45	33.08	-0.05	7.58
46.512	21.54	31.17	0.02	7.65
46.602	19.18	28.81	0.05	7.67
46.692	16.79	26.42	-0.08	7.54
46.782	14.33	23.96	0.08	7.71
46.872	18.90	28.53	-0.04	7.59
46.962	26.27	35.90	0.02	7.65
47.052	31.34	40.97	0.05	7.68
47.142	31.68	41.31	-0.09	7.54
47.232	25.84	35.47	0.07	7.70
47.322	21.78	31.41	-0.04	7.59
47.412	23.59	33.22	0.01	7.64
47.503	24.81	34.44	0.00	7.63
47.593	24.22	33.85	-0.07	7.56
47.683	23.37	33.00	0.09	7.72
47.773	21.20	30.83	-0.06	7.57
47.863	18.91	28.54	0.04	7.66
47.958	16.10	25.73	-0.08	7.54
48.051	14.79	24.42	0.07	7.70
48.141	21.32	30.94	-0.08	7.55
48.231	28.21	37.84	0.07	7.70
48.321	32.14	41.77	-0.03	7.60
48.411	30.30	39.93	0.00	7.63
48.501	24.18	33.80	0.08	7.70
48.595	21.93	31.56	0.01	7.64
48.691	24.49	34.12	-0.08	7.54
48.785	24.57	34.20	0.04	7.67
48.881	23.66	33.29	0.06	7.69
48.971	22.55	32.18	-0.03	7.60
49.061	20.20	29.83	-0.00	7.62
49.151	17.58	27.21	0.08	7.70
49.241	14.83	24.46	-0.08	7.55
49.331	17.01	26.64	0.06	7.69
49.421	24.30	33.93	-0.03	7.59
49.511	30.39	40.02	-0.01	7.62
49.601	32.46	42.08	0.08	7.71
49.691	27.65	37.28	-0.08	7.55
49.780	22.37	32.00	0.06	7.69
49.870	22.83	32.46	-0.03	7.60
49.960	24.79	34.42	-0.02	7.61
50.056	24.34	33.97	-0.07	7.56
50.150	23.65	33.28	0.08	7.71
50.240	21.85	31.48	-0.08	7.55
50.330	19.49	29.12	0.05	7.68
50.420	16.87	26.49	-0.03	7.60
50.510	14.61	24.23	-0.03	7.60
50.600	19.12	28.75	0.09	7.71
50.690	26.41	36.03	-0.08	7.55
50.780	31.22	40.85	0.06	7.69
50.870	31.58	41.21	-0.02	7.61
50.960	25.75	35.38	-0.03	7.59
51.050	21.80	31.43	0.09	7.72
51.142	23.85	33.48	-0.07	7.56
51.240	24.91	34.54	-0.07	7.55
51.330	24.10	33.73	0.05	7.67
51.420	23.41	33.03	-0.02	7.61
51.510	21.34	30.97	-0.05	7.58
51.600	18.93	28.55	0.09	7.72
51.689	16.25	25.88	-0.07	7.56
51.779	15.11	24.73	0.04	7.67
51.869	21.51	31.14	-0.01	7.62
51.959	28.53	38.16	-0.05	7.58
52.049	32.28	41.91	0.09	7.72
52.139	30.51	40.14	-0.07	7.56
52.229	24.34	33.97	0.04	7.67
52.319	22.03	31.66	-0.01	7.62
52.409	24.46	34.09	-0.06	7.57
52.501	24.82	34.45	0.04	7.67
52.592	23.80	33.43	-0.06	7.56
52.689	22.71	32.34	-0.07	7.56
52.779	20.47	30.10	0.04	7.67
52.876	17.96	27.59	-0.06	7.57
52.969	15.06	24.69	0.01	7.63
53.059	17.13	26.76	-0.07	7.56
53.149	24.46	34.09	0.09	7.72
53.239	30.37	40.00	-0.06	7.57
53.329	32.44	42.07	0.04	7.66
53.418	27.63	37.26	0.02	7.64
53.508	22.40	32.03	-0.08	7.55
53.598	22.89	32.52	0.09	7.71
53.688	24.74	34.37	-0.06	7.57
53.778	24.52	34.15	0.03	7.66
53.868	23.68	33.31	0.02	7.65
53.961	21.99	31.62	0.02	7.65
54.058	19.54	29.17	-0.08	7.55
54.148	17.04	26.67	0.08	7.71
54.238	14.64	24.27	-0.05	7.57
54.328	19.22	28.85	0.03	7.66
54.418	26.53	36.15	0.04	7.67
54.508	31.40	41.03	-0.08	7.55
54.603	31.44	41.07	-0.03	7.60
54.698	25.12	34.75	0.09	7.72
54.788	21.63	31.26	-0.05	7.58
54.878	23.92	33.54	0.02	7.65
54.968	24.74	34.37	0.05	7.68
55.058	24.05	33.68	-0.08	7.55
55.147	23.20	32.83	0.07	7.70
55.237	21.06	30.69	-0.04	7.59
55.327	18.82	28.44	0.02	7.65
55.417	16.29	25.92	0.06	7.68
55.507	15.15	24.78	-0.08	7.54
55.597	21.45	31.08	0.07	7.70
55.687	28.36	37.99	-0.03	7.60
55.777	32.47	42.10	0.01	7.64
55.867	30.45	40.08	0.06	7.69
55.957	24.26	33.89	-0.08	7.55
56.047	21.99	31.62	0.07	7.70
